voc,name,center_cm-1,center_um,target_optical_depth,H2O_optical_depth,CO2_optical_depth,background_transmission,target_peak_prominence,search_score,rank_within_voc
Toluene,toluene,1030.75,9.7017,1.0581090498528298e-06,0.0027680367476799685,0.004798096888448091,0.9924624175003554,5.032796596687613e-05,0.000138793752286382,1
Toluene,toluene,728.0,13.7363,1.6047164544470826e-05,0.02330311710569534,1.5500348636551078,0.20735188928413356,0.0007828186053211923,2.114872904289552e-06,2
Toluene,toluene,693.3,14.4238,1.1973328703832098e-05,0.1599436613137371,54.17022409231042,2.5392645153986675e-24,0.0005178844863326316,5.596052793564404e-31,3
X2_Butanone,2-butanone,939.2,10.6474,1.564724082668153e-06,0.000193271731345574,0.009565119826434872,0.9902890670464483,5.105348072819912e-05,0.00015878923846652975,1
X2_Butanone,2-butanone,1174.4,8.515,7.792097111362865e-06,0.2562019944562565,1.2375765111081684e-07,0.7739855164116756,0.00025723018167171776,2.3539891525150602e-05,2
X2_Butanone,2-butanone,750.2,13.3298,7.475461062980605e-07,0.008815956648242288,0.6031363994031239,0.5422910895873241,2.555161811025816e-05,6.624495875666069e-07,3
