voc,name,center_cm-1,instrument_resolution_cm-1,peak_coefficient_per_ppm_m,evidence_reference_ppb,attenuation_at_reference_path_fraction,path_m_for_target_attenuation,peak_retained_fraction
X2_Butanone,2-butanone,1174.0,2.0,0.000268628214894064,1.26,7.7935651019434e-06,12895.634485572918,1.0
X2_Butanone,2-butanone,1174.0,5.0,0.00026258198930029626,1.26,7.6181498973593165e-06,13192.56998934571,0.9774922169059861
X2_Butanone,2-butanone,1174.0,10.0,0.00025487330950305954,1.26,7.394502947177806e-06,13591.581160616586,0.9487957532814308
X2_Butanone,2-butanone,1174.0,20.0,0.00023003013525936568,1.26,6.673743631391282e-06,15059.467177549914,0.8563141267572365
Toluene,toluene,726.0,2.0,0.0007836541794715834,0.89,1.6059301890303246e-05,6258.214224540895,1.0
Toluene,toluene,726.0,5.0,0.00047217194287477014,0.89,9.67617627078976e-06,10386.630987073924,0.6025259039556898
Toluene,toluene,726.0,10.0,0.00035414764667612034,0.89,7.257523982451275e-06,13848.110467821654,0.4519182771601135
Toluene,toluene,726.0,20.0,0.00026838604358203345,0.89,5.500022032589591e-06,18273.2144624017,0.3424802044225754
