voc,name,center_cm-1,reference_concentration_ppb,target_attenuation_fraction,target_attenuation_ppm,required_snr,maximum_relative_transmission_noise_ppm,background_optical_depth,maximum_background_optical_depth_error,maximum_background_optical_depth_relative_error_ppm,assumed_relative_transmission_noise_ppm,white_noise_equivalent_lod_ppb
Toluene,toluene,1030.75,0.89,1.0581084900485038e-06,1.0581084900485038,3.0,0.3527028300161679,0.0075661336361278995,3.5270301661760995e-07,46.616017318736105,0.1,0.25233707366601005
Toluene,toluene,1030.75,0.89,1.0581084900485038e-06,1.0581084900485038,3.0,0.3527028300161679,0.0075661336361278995,3.5270301661760995e-07,46.616017318736105,1.0,2.523370736660101
Toluene,toluene,1030.75,0.89,1.0581084900485038e-06,1.0581084900485038,3.0,0.3527028300161679,0.0075661336361278995,3.5270301661760995e-07,46.616017318736105,10.0,25.233707366601006
Toluene,toluene,1030.75,0.89,1.0581084900485038e-06,1.0581084900485038,3.0,0.3527028300161679,0.0075661336361278995,3.5270301661760995e-07,46.616017318736105,100.0,252.33707366601007
X2_Butanone,2-butanone,939.2,1.26,1.5647228585047301e-06,1.5647228585047301,3.0,0.5215742861682434,0.0097583915577803,5.215746942227177e-07,53.44883848269746,0.1,0.24157632640531743
X2_Butanone,2-butanone,939.2,1.26,1.5647228585047301e-06,1.5647228585047301,3.0,0.5215742861682434,0.0097583915577803,5.215746942227177e-07,53.44883848269746,1.0,2.4157632640531745
X2_Butanone,2-butanone,939.2,1.26,1.5647228585047301e-06,1.5647228585047301,3.0,0.5215742861682434,0.0097583915577803,5.215746942227177e-07,53.44883848269746,10.0,24.15763264053174
X2_Butanone,2-butanone,939.2,1.26,1.5647228585047301e-06,1.5647228585047301,3.0,0.5215742861682434,0.0097583915577803,5.215746942227177e-07,53.44883848269746,100.0,241.57632640531742
