voc,name,scenario,sample_volume_ml,sample_flow_ml_min,collection_time_min,desorption_volume_ml,recovery_fraction,geometric_enrichment_factor,net_enrichment_factor,sampled_target_pmol,recovered_target_pmol,recovered_target_mass_ng,desorbed_concentration_ppb,target_attenuation_ppm,snr_at_reference_concentration,white_noise_equivalent_lod_ppb,cycle_time_min,maximum_cycles_per_8h
Toluene,toluene,conservative recovery,500.0,200.0,2.5,10.0,0.5,50.0,25.0,18.32106549609231,9.160532748046155,0.8440514874049727,22.25,26.452376375996067,26.452376375996067,0.10093611107177741,20.5,23.414634146341463
Toluene,toluene,reference design,500.0,200.0,2.5,5.0,0.8,100.0,80.0,18.32106549609231,14.656852396873848,1.3504823798479564,71.2,84.64514138606383,84.64514138606383,0.03154345253937511,20.5,23.414634146341463
Toluene,toluene,1 L sample,1000.0,200.0,5.0,5.0,0.8,200.0,160.0,36.64213099218462,29.313704793747696,2.7009647596959128,142.4,169.28311797215213,169.28311797215213,0.015772393797940487,23.0,20.869565217391305
Toluene,toluene,2 L sample,2000.0,200.0,10.0,5.0,0.8,400.0,320.0,73.28426198436924,58.62740958749539,5.4019295193918255,284.8,338.53757917035045,338.53757917035045,0.007886864455471482,28.0,17.142857142857142
X2_Butanone,2-butanone,conservative recovery,500.0,200.0,2.5,10.0,0.5,50.0,25.0,25.937688230422825,12.968844115211413,0.935183349147895,31.5,39.11733696371211,39.11733696371211,0.09663234497549217,20.5,23.414634146341463
X2_Butanone,2-butanone,reference design,500.0,200.0,2.5,5.0,0.8,100.0,80.0,25.937688230422825,20.75015058433826,1.496293358636632,100.8,125.17009218371288,125.1700921837129,0.030198907215407907,20.5,23.414634146341463
X2_Butanone,2-butanone,1 L sample,1000.0,200.0,5.0,5.0,0.8,200.0,160.0,51.87537646084565,41.50030116867652,2.992586717273264,201.6,250.32451681539226,250.32451681539226,0.015100398666853917,23.0,20.869565217391305
X2_Butanone,2-butanone,2 L sample,2000.0,200.0,10.0,5.0,0.8,400.0,320.0,103.7507529216913,83.00060233735304,5.985173434546528,403.2,500.5863712671532,500.58637126715325,0.007551144451718777,28.0,17.142857142857142
